"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3220000","CDFI2260032015000001","2015-02-03","","01","영업/정상","13","영업중","","","","","02-2058-1000","","135-964","서울특별시 강남구 개포동 1229-14","서울특별시 강남구 논현로 66 (개포동)","06307","호텔 데님(Hotel Denim)","2023-03-27 09:56:49","U","2022-12-02 22:09:00.0","","204053.596300672","441557.179656218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032016000008","2016-05-17","","03","폐업","03","폐업","2023-02-28","","","","2283-3000","","","서울특별시 중구 회현동1가 194-15","서울특별시 중구 퇴계로 52 (회현동1가, 인송빌딩)","04634","티마크그랜드호텔명동","2023-02-28 09:40:42","U","2022-12-03 00:03:00.0","","198043.635511275","450686.849956646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3170000","CDFI2260032021000001","2021-04-06","","01","영업/정상","13","영업중","","","","","02-856-0933","","","서울특별시 금천구 독산동 335-21","서울특별시 금천구 가산로3길 103 (독산동)","08526","위너스","2023-03-10 15:41:40","U","2022-12-02 23:02:00.0","","190183.499829289","441092.525925225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032014000003","2014-07-22","","01","영업/정상","13","영업중","","","","","02-727-8700","","100-011","서울특별시 중구 충무로1가 24-30","서울특별시 중구 퇴계로 107 (충무로1가)","04536","데이즈 호텔 명동","2023-03-13 14:04:13","U","2022-12-02 23:05:00.0","","198484.096465671","450963.971753178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032016000005","2016-03-29","","02","휴업","02","휴업","","2023-01-01","2023-12-31","","02-6474-1530","","","서울특별시 강남구 논현동 205-8","서울특별시 강남구 봉은사로 143 (논현동, 운현오피스텔)","06122","강남패밀리호텔","2023-04-10 18:03:11","U","2022-12-03 23:02:00.0","","202596.666692428","444917.728061158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI2260032017000004","2017-09-29","","01","영업/정상","13","영업중","","","","","02-2223-7522","","","서울특별시 용산구 한강로3가 40-969 서울드래곤시티","서울특별시 용산구 청파로20길 95, 서울드래곤시티 (한강로3가)","04372","(주)서부티엔디 노보텔 앰배서더 서울 용산","2023-03-17 09:16:16","U","2022-12-02 23:09:00.0","","196610.663839509","447742.348636253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032020000003","2020-09-10","","01","영업/정상","13","영업중","","","","","02-6365-3456","","","서울특별시 중구 회현동1가 100-104","서울특별시 중구 퇴계로8길 93 (회현동1가)","04633","남산스토리 나인","2023-03-03 09:13:24","U","2022-12-03 00:05:00.0","","198229.100381804","450386.97375941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032016000001","2016-01-07","","01","영업/정상","13","영업중","","","","","6112-1000","","","서울특별시 중구 장교동 74","서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)","04541","롯데시티호텔명동","2023-03-03 09:04:14","U","2022-12-03 00:05:00.0","","198876.925292257","451628.15318809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3180000","CDFI2260032021000003","2021-12-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 양평동1가 136","서울특별시 영등포구 선유로23길 4 (양평동1가)","07272","ROJIN(로진)","2023-03-09 13:45:10","U","2022-12-02 23:01:00.0","","190171.844795511","446760.131273728","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032022000002","2022-06-16","","01","영업/정상","13","영업중","","","","","02-6742-1565","","","서울특별시 강남구 논현동 74-6","서울특별시 강남구 논현로 734 (논현동)","06049","아난티 앳 강남","2023-02-13 16:54:06","U","2022-12-01 23:05:00.0","","202545.820550895","446151.727131374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
