,경도,위도,중심시도명,중심시군구명,중심관광지명,주소,중심카테고리 명_대,중심카테고리 명_중,순위,가까운 지하철역,지하철역과의 거리,도보시간
0,127.0591,37.512,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,관광지,문화관광,1,"봉은사, 9호선(연장)",266.2735837023818,3.9921077016848847
1,127.0597,37.5087,서울특별시,강남구,현대백화점/무역센터점,서울 강남구 테헤란로 517-0,관광지,쇼핑,2,"삼성(무역센터), 2호선",306.333440319704,4.592705252169475
2,127.0275,37.5273,서울특별시,강남구,현대백화점/압구정본점,서울 강남구 압구정로 165-0,관광지,쇼핑,3,"압구정, 3호선",88.63509399543138,1.3288619789419995
3,127.0416,37.5279,서울특별시,강남구,갤러리아백화점/명품관EAST,서울 강남구 압구정로 407-0,관광지,쇼핑,4,"압구정로데오, 분당선",110.43883588572481,1.6557546609553944
4,127.04,37.5284,서울특별시,강남구,갤러리아백화점/명품관WEST,서울 강남구 압구정로 343-0,관광지,쇼핑,5,"압구정로데오, 분당선",122.5510984311579,1.8373478025660854
5,127.0532,37.4969,서울특별시,강남구,롯데백화점/강남점,서울 강남구 도곡로 401-0,관광지,쇼핑,9,"한티, 분당선",79.06212180792937,1.1853391575401704
6,127.0227,37.5215,서울특별시,강남구,신사동가로수길,서울 강남구,관광지,문화관광,12,"신사, 신분당선(연장2)",617.2563896353167,9.25421873516217
7,127.0483,37.4993,서울특별시,강남구,이마트/역삼점,서울 강남구 역삼로 310-0,관광지,쇼핑,14,"한티, 분당선",528.2921766698813,7.920422438828805
8,127.0574,37.5153,서울특별시,강남구,봉은사,서울 강남구 봉은사로 531-0,관광지,역사관광,15,"봉은사, 9호선(연장)",278.6705838285745,4.177969772542346
9,127.0598,37.5113,서울특별시,강남구,메가박스/코엑스,서울 강남구 봉은사로 524-0,관광지,문화관광,18,"봉은사, 9호선(연장)",326.3519717789085,4.892833160103575
10,127.0353,37.5244,서울특별시,강남구,도산공원,서울 강남구 도산대로45길 20-0,관광지,문화관광,19,"압구정로데오, 분당선",568.7860130594388,8.527526432675245
11,127.037,37.5229,서울특별시,강남구,CGV/청담씨네시티,서울 강남구 도산대로 323-0,관광지,문화관광,20,"압구정로데오, 분당선",587.307498042506,8.805209865704738
12,127.0288,37.5245,서울특별시,강남구,CGV/압구정본관,서울 강남구 논현로 848-0,관광지,문화관광,24,"압구정, 3호선",287.02842197431954,4.303274692268658
13,127.0588,37.5124,서울특별시,강남구,아쿠아리움/코엑스몰점,서울 강남구 영동대로 513-0,관광지,문화관광,27,"봉은사, 9호선(연장)",238.9110752824565,3.5818751916410267
14,127.0263,37.5016,서울특별시,강남구,CGV/강남,서울 강남구 강남대로 438-0,관광지,문화관광,28,"신논현, 신분당선(연장2)",350.33846609666125,5.252450766066885
15,127.0381,37.5276,서울특별시,강남구,압구정로데오거리,서울 강남구,관광지,문화관광,32,"압구정로데오, 분당선",216.51724164174678,3.2461355568477774
16,127.0718,37.4957,서울특별시,강남구,SETEC,서울 강남구 남부순환로 3104-0,관광지,문화관광,34,"학여울, 3호선",150.98645410403475,2.2636649790709855
17,127.0469,37.4874,서울특별시,강남구,롯데시네마/도곡,서울 강남구 남부순환로 2753-0,관광지,문화관광,35,"매봉, 3호선",51.594644453881806,0.773532900358048
18,127.0596,37.5111,서울특별시,강남구,스타필드/코엑스몰,서울 강남구 영동대로 513-0,관광지,쇼핑,38,"봉은사, 9호선(연장)",350.83474430963287,5.259891219034976
19,127.0256,37.5239,서울특별시,강남구,광림아트센터/BBCH홀,서울 강남구 논현로163길 33-0,관광지,문화관광,40,"압구정, 3호선",433.4730596315166,6.4988464712371306
20,127.103,37.4873,서울특별시,강남구,이마트/수서점,서울 강남구 광평로 280-0,관광지,쇼핑,44,"수서, 3호선",97.05219488104454,1.455055395517909
21,127.0397,37.5083,서울특별시,강남구,더라움,서울 강남구 언주로 564-0,관광지,문화관광,45,"선정릉, 9호선(연장)",439.9957561451839,6.596638023166175
22,127.0577,37.512,서울특별시,강남구,세븐럭/코엑스센터점,서울 강남구 테헤란로87길 58-0,관광지,문화관광,48,"봉은사, 9호선(연장)",333.5877044894552,5.001314909886884
23,127.049,37.5086,서울특별시,강남구,선정릉,서울 강남구 선릉로100길 1-0,관광지,역사관광,53,"선릉, 분당선",415.8861831668896,6.235175159923382
24,127.0606,37.5076,서울특별시,강남구,마이아트뮤지엄,서울 강남구 테헤란로 518-0,관광지,문화관광,54,"삼성(무역센터), 2호선",265.1311739606607,3.9749801193502354
25,127.0217,37.5166,서울특별시,강남구,롯데시네마/브로드웨이,서울 강남구 도산대로 118-0,관광지,문화관광,59,"신사, 신분당선(연장2)",143.28634682606415,2.1482210918450395
26,127.0294,37.5243,서울특별시,강남구,CGV/압구정신관,서울 강남구 압구정로30길 45-0,관광지,문화관광,63,"압구정, 3호선",318.65747301200014,4.777473358500751
27,127.061,37.5091,서울특별시,강남구,파르나스몰,서울 강남구 테헤란로 521-0,관광지,쇼핑,65,"삼성(무역센터), 2호선",193.07810670765278,2.894724238495544
28,127.0597,37.5087,서울특별시,강남구,현대백화점면세점/무역센터점,서울 강남구 테헤란로 517-0,관광지,쇼핑,66,"삼성(무역센터), 2호선",306.333440319704,4.592705252169475
29,127.0652,37.5066,서울특별시,강남구,KT&G상상마당/대치아트홀,서울 강남구 영동대로 416-0,관광지,문화관광,70,"삼성(무역센터), 2호선",307.50870809708323,4.6103254587268845
30,127.0339,37.5274,서울특별시,강남구,서울옥션/강남센터,서울 강남구 언주로 864-0,관광지,문화관광,72,"압구정, 3호선",482.1475289471863,7.228598634890349
31,127.0343,37.5212,서울특별시,강남구,현대모터스튜디오/서울,서울 강남구 언주로 738-0,관광지,문화관광,74,"강남구청, 분당선",733.6766971802035,10.999650632386858
32,127.0398,37.5083,서울특별시,강남구,라움아트센터,서울 강남구 언주로 564-0,관광지,문화관광,77,"선정릉, 9호선(연장)",432.38093959909975,6.482472857557717
33,127.0659,37.5103,서울특별시,강남구,백암아트홀,서울 강남구 테헤란로113길 7-0,관광지,문화관광,78,"삼성(무역센터), 2호선",291.2062791113678,4.365911231054989
34,127.0656,37.5033,서울특별시,강남구,바운스트램폴린파크/삼성센터,서울 강남구 영동대로 325-0,관광지,문화관광,79,"삼성(무역센터), 2호선",652.038197582249,9.775685121173149
35,127.0298,37.5303,서울특별시,강남구,금강쇼핑센터,서울 강남구 압구정로 201-0,관광지,쇼핑,84,"압구정, 3호선",377.31169531159225,5.656847006170798
36,127.027,37.5004,서울특별시,강남구,메가박스/강남대로,서울 강남구 강남대로 422-0,관광지,문화관광,87,"강남, 2호선",279.3715481514977,4.188478982781074
37,127.0353,37.5227,서울특별시,강남구,메종에르메스,서울 강남구 도산대로45길 7-0,관광지,쇼핑,88,"압구정로데오, 분당선",695.6810968880066,10.430001452593801
38,127.0428,37.5276,서울특별시,강남구,기아360,서울 강남구 압구정로 417-0,관광지,문화관광,89,"압구정로데오, 분당선",201.76797126431435,3.0250070654319994
39,127.0943,37.4826,서울특별시,강남구,식물관PH,서울 강남구 광평로34길 24-0,관광지,문화관광,92,"수서, 분당선",830.1504121043154,12.44603316498224
40,127.0404,37.5262,서울특별시,강남구,캘리클럽/청담점,서울 강남구 선릉로 832-0,관광지,문화관광,94,"압구정로데오, 분당선",131.610377833581,1.9731690829622337
41,127.0525,37.4717,서울특별시,강남구,능인선원/포이동법당,서울 강남구 양재대로 340-0,관광지,역사관광,95,"양재시민의숲(매헌), 신분당선",1259.3439260534653,18.88071853153621
42,127.0458,37.5084,서울특별시,강남구,선릉,서울 강남구 선릉로100길 1-0,관광지,역사관광,96,"선정릉, 9호선(연장)",263.97695099236586,3.957675427171902
43,127.0808,37.4963,서울특별시,강남구,마루공원,서울 강남구,관광지,문화관광,97,"대청, 3호선",328.91331075231705,4.931234044262625
44,127.0408,37.4941,서울특별시,강남구,역삼청소년수련관,서울 강남구 논현로64길 7-0,관광지,레저스포츠,100,"역삼, 2호선",819.4679996761254,12.285877056613574
45,126.8029,37.5589,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,관광지,기타관광,1,"김포공항, 공항철도1호선",338.1776994247663,5.070130426158415
46,126.8031,37.5634,서울특별시,강서구,롯데몰/김포공항점,서울 강서구 하늘길 38-0,관광지,쇼핑,2,"김포공항, 김포골드라인",158.6556376134389,2.378645241580793
