,Unnamed: 0,경도,위도,중심시도명,중심시군구명,중심관광지명,주소,중심카테고리 명_대,중심카테고리 명_중,순위,가까운 지하철역,지하철역과의 거리,도보시간
0,0,127.0591,37.512,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,관광지,문화관광,1,"봉은사, 9호선(연장)",266.2735837023818,3.9921077016848847
1,1,127.0597,37.5087,서울특별시,강남구,현대백화점/무역센터점,서울 강남구 테헤란로 517-0,관광지,쇼핑,2,"삼성(무역센터), 2호선",306.333440319704,4.592705252169475
2,2,127.0275,37.5273,서울특별시,강남구,현대백화점/압구정본점,서울 강남구 압구정로 165-0,관광지,쇼핑,3,"압구정, 3호선",88.63509399543138,1.3288619789419995
3,3,127.0416,37.5279,서울특별시,강남구,갤러리아백화점/명품관EAST,서울 강남구 압구정로 407-0,관광지,쇼핑,4,"압구정로데오, 분당선",110.4388358857248,1.6557546609553944
4,4,127.04,37.5284,서울특별시,강남구,갤러리아백화점/명품관WEST,서울 강남구 압구정로 343-0,관광지,쇼핑,5,"압구정로데오, 분당선",122.5510984311579,1.8373478025660852
5,5,127.0532,37.4969,서울특별시,강남구,롯데백화점/강남점,서울 강남구 도곡로 401-0,관광지,쇼핑,9,"한티, 분당선",79.06212180792937,1.1853391575401704
6,6,127.0227,37.5215,서울특별시,강남구,신사동가로수길,서울 강남구,관광지,문화관광,12,"신사, 신분당선(연장2)",617.2563896353167,9.25421873516217
7,7,127.0483,37.4993,서울특별시,강남구,이마트/역삼점,서울 강남구 역삼로 310-0,관광지,쇼핑,14,"한티, 분당선",528.2921766698813,7.920422438828805
8,8,127.0574,37.5153,서울특별시,강남구,봉은사,서울 강남구 봉은사로 531-0,관광지,역사관광,15,"봉은사, 9호선(연장)",278.6705838285745,4.177969772542346
9,9,127.0598,37.5113,서울특별시,강남구,메가박스/코엑스,서울 강남구 봉은사로 524-0,관광지,문화관광,18,"봉은사, 9호선(연장)",326.3519717789085,4.892833160103575
10,10,127.0353,37.5244,서울특별시,강남구,도산공원,서울 강남구 도산대로45길 20-0,관광지,문화관광,19,"압구정로데오, 분당선",568.7860130594388,8.527526432675245
11,11,127.037,37.5229,서울특별시,강남구,CGV/청담씨네시티,서울 강남구 도산대로 323-0,관광지,문화관광,20,"압구정로데오, 분당선",587.307498042506,8.805209865704738
12,12,127.0288,37.5245,서울특별시,강남구,CGV/압구정본관,서울 강남구 논현로 848-0,관광지,문화관광,24,"압구정, 3호선",287.02842197431954,4.303274692268658
14,14,127.0263,37.5016,서울특별시,강남구,CGV/강남,서울 강남구 강남대로 438-0,관광지,문화관광,28,"신논현, 신분당선(연장2)",350.33846609666125,5.252450766066885
16,16,127.0718,37.4957,서울특별시,강남구,SETEC,서울 강남구 남부순환로 3104-0,관광지,문화관광,34,"학여울, 3호선",150.98645410403475,2.263664979070985
17,17,127.0469,37.4874,서울특별시,강남구,롯데시네마/도곡,서울 강남구 남부순환로 2753-0,관광지,문화관광,35,"매봉, 3호선",51.594644453881806,0.773532900358048
19,19,127.0256,37.5239,서울특별시,강남구,광림아트센터/BBCH홀,서울 강남구 논현로163길 33-0,관광지,문화관광,40,"압구정, 3호선",433.4730596315166,6.4988464712371306
20,20,127.103,37.4873,서울특별시,강남구,이마트/수서점,서울 강남구 광평로 280-0,관광지,쇼핑,44,"수서, 3호선",97.05219488104454,1.455055395517909
21,21,127.0397,37.5083,서울특별시,강남구,더라움,서울 강남구 언주로 564-0,관광지,문화관광,45,"선정릉, 9호선(연장)",439.9957561451839,6.596638023166175
22,22,127.0577,37.512,서울특별시,강남구,세븐럭/코엑스센터점,서울 강남구 테헤란로87길 58-0,관광지,문화관광,48,"봉은사, 9호선(연장)",333.5877044894552,5.001314909886884
23,23,127.049,37.5086,서울특별시,강남구,선정릉,서울 강남구 선릉로100길 1-0,관광지,역사관광,53,"선릉, 분당선",415.8861831668896,6.235175159923382
24,24,127.0606,37.5076,서울특별시,강남구,마이아트뮤지엄,서울 강남구 테헤란로 518-0,관광지,문화관광,54,"삼성(무역센터), 2호선",265.1311739606607,3.974980119350235
25,25,127.0217,37.5166,서울특별시,강남구,롯데시네마/브로드웨이,서울 강남구 도산대로 118-0,관광지,문화관광,59,"신사, 신분당선(연장2)",143.28634682606415,2.1482210918450395
26,26,127.0294,37.5243,서울특별시,강남구,CGV/압구정신관,서울 강남구 압구정로30길 45-0,관광지,문화관광,63,"압구정, 3호선",318.65747301200014,4.777473358500751
27,27,127.061,37.5091,서울특별시,강남구,파르나스몰,서울 강남구 테헤란로 521-0,관광지,쇼핑,65,"삼성(무역센터), 2호선",193.0781067076528,2.894724238495544
29,29,127.0652,37.5066,서울특별시,강남구,KT&G상상마당/대치아트홀,서울 강남구 영동대로 416-0,관광지,문화관광,70,"삼성(무역센터), 2호선",307.50870809708323,4.6103254587268845
30,30,127.0339,37.5274,서울특별시,강남구,서울옥션/강남센터,서울 강남구 언주로 864-0,관광지,문화관광,72,"압구정, 3호선",482.1475289471863,7.228598634890349
31,31,127.0343,37.5212,서울특별시,강남구,현대모터스튜디오/서울,서울 강남구 언주로 738-0,관광지,문화관광,74,"강남구청, 분당선",733.6766971802035,10.999650632386858
