사업장명,업소유형,업태구분명,지번주소,도로명주소,가까운 지하철역,지하철역과의 거리,도보시간,위도,경도,별점,방문자 리뷰수,블로그 리뷰수,한실수,양실수,욕실수,구비시설,네이버 이런점이 좋아요 총합,네이버 이런점이 좋아요 {항목:좋아요수},데이터갱신일자,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,naver_pk,리뷰수,객실수,구비시설 개수,운영기간
어반스테이 명동,레지던스,숙박업(생활),서울특별시 중구 인현동1가 158,"서울특별시 중구 충무로 24, 3~17층 (인현동1가)","충무로, 3호선",223.0102584797861,3.3434821361287272,37.5633577414568,126.993360096149,,56.0,70.0,,,,,41.0,"{'깨끗해요': 29},{'조용히 쉬기 좋아요': 22},{'냉난방이 잘돼요': 22},{'침구가 좋아요': 21},{'대중교통이 편해요': 13},{'화장실이 잘 되어있어요': 13},{'뷰가 좋아요': 11},{'인테리어가 멋져요': 7},{'친절해요': 6},{'근처에 갈 곳이 많아요': 6},{'즐길 거리가 많아요': 2},{'사진이 잘 나와요': 2},{'방음이 잘돼요': 2}",2022-12-03 00:03:00.0,2021-01-15,,1,,,,,"37.5633577415, 126.9933600961",126.0,,,
오요5(oYo5),호스텔,관광호텔,서울특별시 중구 남산동2가 35-2,"서울특별시 중구 퇴계로18길 43, 지층, 1~2층 (남산동2가)","명동, 4호선",263.2157736526138,3.94626347305268,37.5589341416416,126.984837685013,,,,,,,,,,2022-12-03 00:03:00.0,2019-08-02,,1,,,,,"37.5589341416, 126.9848376850",,,,
더스테이클래식호텔,호텔,숙박업(생활),서울특별시 중구 남대문로3가 94,서울특별시 중구 남대문로 27 (남대문로3가),"회현(남대문시장), 4호선",330.1519827601723,4.949804838983093,37.5614803705066,126.978524755613,,1.0,10.0,,,,"['와이파이', '주차장', '컨시어지', '물품보관소']",,,2022-12-02 23:05:00.0,2023-03-13,,1,,,,,"37.5614803705, 126.9785247556",11.0,,4.0,
오요5롯지A(oYo5LodgeA),,숙박업 기타,서울특별시 중구 남산동2가 33-3 1~2층,"서울특별시 중구 퇴계로18길 41 (남산동2가, 1~2층)","명동, 4호선",240.22331017765345,3.601548878225689,37.5591075118053,126.98498104754,,,,,,,,,,2022-12-03 00:03:00.0,2017-04-26,,1,,,,,"37.5591075118, 126.9849810475",,,,
오요5롯지B(oYo5LodgeB),,관광호텔,"서울특별시 중구 남산동2가 33 1,2층","서울특별시 중구 퇴계로18길 37 (남산동2가, 1,2층)","명동, 4호선",226.6023012322996,3.397335850559214,37.5592217658029,126.985040669975,,,,,,,,,,2022-12-03 00:03:00.0,2017-04-26,,1,,,,,"37.5592217658, 126.9850406700",,,,
인구로스페이스,,여인숙업,서울특별시 구로구 구로동 141-6,서울특별시 구로구 도림로19길 8 (구로동),"대림(구로구청), 2호선",479.0092732032561,7.181548323886898,37.4900208931672,126.891328339661,,,,,,,,,,2022-12-03 00:03:00.0,1975-12-20,,1,,,,,"37.4900208932, 126.8913283397",,,,
타임모텔,,여관업,서울특별시 서대문구 대현동 104-40,서울특별시 서대문구 연세로2길 98 (대현동),"신촌, 경의중앙선",308.2510498250618,4.621455019865993,37.5569826989057,126.942111433988,,,,,,,,,,2022-12-02 23:01:00.0,1990-12-24,,1,,,,,"37.5569826989, 126.9421114340",,,,
베스테이린,"기업,빌딩",일반호텔,서울특별시 관악구 봉천동 866-4,서울특별시 관악구 남부순환로220길 34 (봉천동),"서울대입구(관악구청), 2호선",201.8263054695689,3.025881641222921,37.4797547069873,126.951435011192,,,,,,,,,,2022-12-03 00:04:00.0,1986-07-15,,1,,,,,"37.4797547070, 126.9514350112",,,,
더문 호텔,모텔,일반호텔,서울특별시 영등포구 영등포동3가 17-9,서울특별시 영등포구 영중로8길 13 (영등포동3가),"영등포, 경부선",342.184661012407,5.130204812779715,37.5185618190377,126.90713337896,3.83,22.0,9.0,,,,,,,2022-12-03 00:09:00.0,2003-02-26,,1,,,,,"37.5185618190, 126.9071333790",31.0,,,
유모텔,,여관업,서울특별시 강북구 미아동 42-206,서울특별시 강북구 월계로3길 3-5 (미아동),"미아사거리, 4호선",395.29373119565406,5.92644274656153,37.6097926813623,127.03088628932,,,,,,,,,,2022-12-03 00:09:00.0,1980-07-22,,1,,,,,"37.6097926814, 127.0308862893",,,,
