,naver_pk
0,"37.5633577415, 126.9933600961"
1,"37.5589341416, 126.9848376850"
2,"37.5614803705, 126.9785247556"
3,"37.5591075118, 126.9849810475"
4,"37.5592217658, 126.9850406700"
5,"37.4900208932, 126.8913283397"
6,"37.5569826989, 126.9421114340"
7,"37.4797547070, 126.9514350112"
8,"37.5185618190, 126.9071333790"
9,"37.6097926814, 127.0308862893"
10,"37.6335187058, 127.0240939626"
11,"37.5471981777, 126.8463875395"
12,"37.5564225998, 126.9396930951"
13,"37.5169888062, 126.9071950531"
14,"37.5583680965, 126.9803028794"
15,"37.4849043524, 126.9307016630"
16,"37.4856475497, 127.1235571622"
17,"37.4870648485, 127.0137713752"
18,"37.4870648485, 127.0137713752"
19,"37.5611690008, 127.0056732484"
20,"37.4713949834, 126.8960478692"
21,"37.4988036559, 127.0263106720"
22,"37.5616934785, 127.0055142663"
23,"37.4869723547, 127.0126077550"
24,"37.5007098055, 127.0398849375"
25,"37.5752885550, 127.0268736896"
26,"37.5546741875, 126.9352202422"
27,"37.6123488511, 127.0306420263"
28,"37.5749210767, 127.0163293940"
29,"37.5710604845, 127.0118801362"
30,"37.5767817847, 126.9716350819"
31,"37.5295757595, 126.8392484920"
32,"37.5295440509, 126.8393857917"
33,"37.5460366738, 127.0665683442"
34,"37.4998784902, 126.8829814037"
35,"37.5116671952, 126.9454538180"
36,"37.5880363079, 126.9183467520"
37,"37.5473112430, 127.1072001691"
38,"37.5667002137, 126.9901574172"
39,"37.5649925874, 127.0020849192"
40,"37.4844807641, 126.9272147533"
41,"37.5809919174, 127.0792397994"
42,"37.5615075147, 126.9928412053"
43,"37.6246837277, 127.0191559175"
44,"37.5634355709, 126.9777560048"
45,"37.5586040972, 126.9847665628"
46,"37.5276397335, 126.9643491494"
47,"37.5357334620, 127.1364834592"
48,"37.5771071357, 127.0229687317"
49,"37.5727219337, 126.9601958890"
50,"37.5596431100, 126.8361990324"
51,"37.5679745987, 126.8267209794"
52,"37.4823741750, 126.8842600891"
53,"37.5505530355, 127.0690503552"
54,"37.4856282661, 126.9043104887"
55,"37.5669742929, 126.8294285535"
56,"37.5660351260, 126.9930833369"
57,"37.5761375234, 127.0223013188"
58,"37.5644454561, 126.9939535521"
59,"37.5005805580, 127.0410631585"
60,"37.5016923957, 127.0418435379"
61,"37.5016478895, 127.0420874527"
62,"37.5439760185, 126.9734882247"
63,"37.6525380775, 127.0504656023"
64,"37.5454225791, 127.1217800414"
65,"37.5619342013, 126.9940015183"
66,"37.4801321525, 126.9512472009"
67,"37.5619714920, 126.9879653407"
68,"37.6416929978, 127.0017224484"
69,"37.4961685552, 127.0204832157"
70,"37.5602669008, 126.9720353257"
71,"37.5171330042, 126.9114693937"
72,"37.6548879864, 127.0579870400"
73,"37.5724190891, 127.0474195276"
74,"37.5161521248, 127.1129845693"
75,"37.4972382423, 127.0293897790"
76,"37.5715380292, 127.0117080383"
77,"37.5749461307, 127.0192747115"
78,"37.5619342013, 126.9940015183"
79,"37.5619342013, 126.9940015183"
80,"37.5018195791, 127.1091515319"
81,"37.5013402410, 127.0861578417"
82,"37.5998607479, 127.0346361088"
83,"37.4870648485, 127.0137713752"
84,"37.4974347629, 126.8459720511"
85,"37.5357935664, 127.1381043503"
86,"37.4831837030, 126.8988566745"
87,"37.5361536140, 127.1386357733"
88,"37.5166294605, 127.0374621212"
89,"37.5822318804, 126.9995809954"
90,"37.4795068234, 126.8910057481"
91,"37.4796596862, 126.8912574213"
92,"37.5478957238, 126.8195071215"
93,"37.5639669347, 127.0039782702"
94,"37.6161965457, 127.0043818973"
95,"37.5749736025, 126.9965520660"
96,"37.4906966843, 126.8825168541"
97,"37.5568159300, 126.9421229937"
98,"37.4897156850, 126.8854707540"
99,"37.4741434732, 126.9810014990"
100,"37.5644427216, 127.0302701558"
101,"37.5631623463, 127.0347404462"
102,"37.6545494279, 127.0577408645"
103,"37.5632665642, 127.0348335328"
104,"37.5546682651, 126.9355938286"
105,"37.4956298007, 126.8442028441"
106,"37.5730416078, 126.9892180417"
107,"37.5850400457, 126.9189843860"
108,"37.5634061274, 126.9934027627"
109,"37.5730219919, 126.9868094892"
110,"37.5615075147, 126.9928412053"
111,"37.5064762326, 127.0301925604"
112,"37.6340808029, 127.0219268585"
113,"37.5641417025, 126.9853945260"
114,"37.5884448281, 127.0866928091"
115,"37.5649341761, 127.0400781824"
116,"37.6117967085, 127.0313907795"
117,"37.5653499228, 127.0020629707"
118,"37.5272747005, 127.1306565223"
119,"37.5451188164, 126.9508862595"
120,"37.5282491675, 126.9201281822"
121,"37.5629149730, 126.9975565697"
