역사_ID,역사명,호선,위도,경도,subway_pk
9996,미사,5호선,127.193877,37.560927,"미사, 5호선"
9995,강일,5호선,127.17593,37.55749,"강일, 5호선"
4929,김포공항,김포골드라인,126.801868,37.56236,"김포공항, 김포골드라인"
4928,고촌,김포골드라인,126.770345,37.601243,"고촌, 김포골드라인"
4927,풍무,김포골드라인,126.732387,37.612488,"풍무, 김포골드라인"
4926,사우(김포시청),김포골드라인,126.719731,37.620249,"사우(김포시청), 김포골드라인"
4925,걸포북변,김포골드라인,126.705975,37.63165,"걸포북변, 김포골드라인"
4924,운양,김포골드라인,126.68393,37.653867,"운양, 김포골드라인"
4923,장기,김포골드라인,126.669017,37.643986,"장기, 김포골드라인"
4922,마산,김포골드라인,126.644344,37.640732,"마산, 김포골드라인"
4921,구래,김포골드라인,126.628633,37.645384,"구래, 김포골드라인"
4920,양촌,김포골드라인,126.614309,37.642379,"양촌, 김포골드라인"
4815,원시,서해선,126.786691,37.302371,"원시, 서해선"
4814,원곡,서해선,126.796261,37.31321,"원곡, 서해선"
4813,초지,서해선,126.808147,37.319619,"초지, 서해선"
4812,선부,서해선,126.809904,37.334353,"선부, 서해선"
4811,달미,서해선,126.809409,37.348847,"달미, 서해선"
4810,시흥능곡,서해선,126.808573,37.369864,"시흥능곡, 서해선"
4809,시흥시청,서해선,126.805625,37.382223,"시흥시청, 서해선"
4808,신현,서해선,126.788017,37.409008,"신현, 서해선"
4807,신천,서해선,126.786788,37.439066,"신천, 서해선"
4806,시흥대야,서해선,126.793041,37.450145,"시흥대야, 서해선"
4805,소새울,서해선,126.797252,37.468467,"소새울, 서해선"
4804,소사,서해선,126.795023,37.483279,"소사, 서해선"
4713,신설동,우이신설선,127.023242,37.576095,"신설동, 우이신설선"
4712,보문,우이신설선,127.019381,37.585286,"보문, 우이신설선"
4711,성신여대입구(돈암),우이신설선,127.016516,37.592467,"성신여대입구(돈암), 우이신설선"
4710,정릉,우이신설선,127.013396,37.603133,"정릉, 우이신설선"
4709,북한산보국문,우이신설선,127.008251,37.612072,"북한산보국문, 우이신설선"
4708,솔샘,우이신설선,127.013626,37.620238,"솔샘, 우이신설선"
4707,삼양사거리,우이신설선,127.020473,37.621337,"삼양사거리, 우이신설선"
4706,삼양,우이신설선,127.018106,37.626914,"삼양, 우이신설선"
4705,화계,우이신설선,127.017511,37.634133,"화계, 우이신설선"
4704,가오리,우이신설선,127.016789,37.641537,"가오리, 우이신설선"
4703,4.19민주묘지,우이신설선,127.013684,37.649502,"4.19민주묘지, 우이신설선"
4702,솔밭공원,우이신설선,127.013273,37.65603,"솔밭공원, 우이신설선"
4701,북한산우이,우이신설선,127.012706,37.662909,"북한산우이, 우이신설선"
4615,탑석,의정부선,127.088704,37.733579,"탑석, 의정부선"
4614,송산,의정부선,127.087159,37.737279,"송산, 의정부선"
4613,어룡,의정부선,127.085035,37.742802,"어룡, 의정부선"
4612,곤제,의정부선,127.083715,37.750471,"곤제, 의정부선"
4611,효자,의정부선,127.076902,37.754025,"효자, 의정부선"
4610,경기도청북부청사,의정부선,127.071495,37.75059,"경기도청북부청사, 의정부선"
4609,새말,의정부선,127.06362,37.748885,"새말, 의정부선"
4608,동오,의정부선,127.056947,37.745271,"동오, 의정부선"
4607,의정부중앙,의정부선,127.049565,37.743676,"의정부중앙, 의정부선"
4606,흥선,의정부선,127.037023,37.743302,"흥선, 의정부선"
4605,의정부시청,의정부선,127.034781,37.739256,"의정부시청, 의정부선"
4604,경전철의정부,의정부선,127.043257,37.737202,"경전철의정부, 의정부선"
4603,범골,의정부선,127.04353,37.728755,"범골, 의정부선"
4602,회룡,의정부선,127.047073,37.725006,"회룡, 의정부선"
4601,발곡,의정부선,127.052803,37.727048,"발곡, 의정부선"
4517,전대.에버랜드,에버라인선,127.219561,37.285342,"전대.에버랜드, 에버라인선"
4515,둔전,에버라인선,127.21364,37.267051,"둔전, 에버라인선"
4514,보평,에버라인선,127.218457,37.258965,"보평, 에버라인선"
4513,고진,에버라인선,127.214251,37.24484,"고진, 에버라인선"
4512,운동장.송담대,에버라인선,127.209198,37.237845,"운동장.송담대, 에버라인선"
4511,김량장,에버라인선,127.198781,37.237247,"김량장, 에버라인선"
4510,명지대,에버라인선,127.190294,37.237964,"명지대, 에버라인선"
4509,시청.용인대,에버라인선,127.178406,37.239151,"시청.용인대, 에버라인선"
4508,삼가,에버라인선,127.168075,37.242115,"삼가, 에버라인선"
4506,초당,에버라인선,127.159443,37.260752,"초당, 에버라인선"
4505,동백,에버라인선,127.152716,37.269043,"동백, 에버라인선"
4504,어정,에버라인선,127.143714,37.274917,"어정, 에버라인선"
4503,지석,에버라인선,127.136515,37.269606,"지석, 에버라인선"
4502,강남대,에버라인선,127.126033,37.270161,"강남대, 에버라인선"
4501,기흥,에버라인선,127.116665,37.275449,"기흥, 에버라인선"
4411,관악산(서울대),신림선,126.9450639,37.4691018,"관악산(서울대), 신림선"
4410,서울대벤처타운,신림선,126.9339351,37.4720019,"서울대벤처타운, 신림선"
4409,서원,신림선,126.9330365,37.4782341,"서원, 신림선"
4408,신림,신림선,126.9296159,37.4849266,"신림, 신림선"
4407,당곡,신림선,126.9275133,37.4902998,"당곡, 신림선"
4406,보라매병원,신림선,126.9234964,37.4929598,"보라매병원, 신림선"
4405,보라매공원,신림선,126.9180827,37.4955691,"보라매공원, 신림선"
4404,보라매,신림선,126.9204355,37.5002739,"보라매, 신림선"
4403,서울지방병무청,신림선,126.9227083,37.5060464,"서울지방병무청, 신림선"
4402,대방,신림선,126.9257265,37.5133059,"대방, 신림선"
4401,샛강,신림선,126.929399,37.5170969,"샛강, 신림선"
4319,광교(경기대),신분당선(연장),127.044483,37.30211,"광교(경기대), 신분당선(연장)"
4318,광교중앙(아주대),신분당선(연장),127.051478,37.288617,"광교중앙(아주대), 신분당선(연장)"
4317,상현,신분당선(연장),127.069342,37.297664,"상현, 신분당선(연장)"
4316,성복,신분당선(연장),127.0801,37.313335,"성복, 신분당선(연장)"
4315,수지구청,신분당선(연장),127.095026,37.322702,"수지구청, 신분당선(연장)"
4314,동천,신분당선(연장),127.102976,37.337928,"동천, 신분당선(연장)"
4313,미금,신분당선(연장),127.108918,37.349982,"미금, 신분당선(연장)"
4312,정자,신분당선,127.108403,37.367098,"정자, 신분당선"
4311,판교,신분당선,127.112217,37.394761,"판교, 신분당선"
4310,청계산입구,신분당선,127.055664,37.447211,"청계산입구, 신분당선"
4309,양재시민의숲(매헌),신분당선,127.03842,37.470023,"양재시민의숲(매헌), 신분당선"
4308,양재(서초구청),신분당선,127.034653,37.483809,"양재(서초구청), 신분당선"
4307,강남,신분당선,127.028104,37.496837,"강남, 신분당선"
4306,신논현,신분당선(연장2),127.02506,37.504598,"신논현, 신분당선(연장2)"
4305,논현,신분당선(연장2),127.021415,37.511093,"논현, 신분당선(연장2)"
4304,신사,신분당선(연장2),127.020114,37.516334,"신사, 신분당선(연장2)"
4217,영종,공항철도1호선,126.524254,37.51202,"영종, 공항철도1호선"
4215,인천공항2터미널,공항철도1호선,126.441442,37.460699,"인천공항2터미널, 공항철도1호선"
4213,인천공항1터미널,공항철도1호선,126.452508,37.447464,"인천공항1터미널, 공항철도1호선"
4212,공항화물청사,공항철도1호선,126.477516,37.459041,"공항화물청사, 공항철도1호선"
4211,운서,공항철도1호선,126.49379,37.492904,"운서, 공항철도1호선"
4210,청라국제도시,공항철도1호선,126.624648,37.556409,"청라국제도시, 공항철도1호선"
4209,검암,공항철도1호선,126.674007,37.569098,"검암, 공항철도1호선"
4208,계양,공항철도1호선,126.7363,37.571662,"계양, 공항철도1호선"
4207,김포공항,공항철도1호선,126.801904,37.561842,"김포공항, 공항철도1호선"
4206,마곡나루,공항철도1호선,126.827378,37.565543,"마곡나루, 공항철도1호선"
4204,디지털미디어시티,공항철도1호선,126.898609,37.576958,"디지털미디어시티, 공항철도1호선"
4203,홍대입구,공항철도1호선,126.926715,37.557438,"홍대입구, 공항철도1호선"
4202,공덕,공항철도1호선,126.952024,37.54253,"공덕, 공항철도1호선"
4201,서울역,공항철도1호선,126.969769,37.553247,"서울역, 공항철도1호선"
4138,중앙보훈병원,9호선(연장),127.148739,37.529191,"중앙보훈병원, 9호선(연장)"
4137,둔촌오륜,9호선(연장),127.137989,37.519683,"둔촌오륜, 9호선(연장)"
4136,올림픽공원(한국체대),9호선(연장),127.130288,37.516269,"올림픽공원(한국체대), 9호선(연장)"
4135,한성백제,9호선(연장),127.116503,37.516404,"한성백제, 9호선(연장)"
4134,송파나루,9호선(연장),127.112216,37.510372,"송파나루, 9호선(연장)"
4133,석촌,9호선(연장),127.10704,37.505208,"석촌, 9호선(연장)"
4132,석촌고분,9호선(연장),127.097033,37.502558,"석촌고분, 9호선(연장)"
4131,삼전,9호선(연장),127.088025,37.504738,"삼전, 9호선(연장)"
4130,종합운동장,9호선(연장),127.076275,37.511426,"종합운동장, 9호선(연장)"
4129,봉은사,9호선(연장),127.060245,37.514219,"봉은사, 9호선(연장)"
4128,삼성중앙,9호선(연장),127.053282,37.513011,"삼성중앙, 9호선(연장)"
4127,선정릉,9호선(연장),127.043999,37.510297,"선정릉, 9호선(연장)"
4126,언주,9호선(연장),127.033868,37.507287,"언주, 9호선(연장)"
4125,신논현,9호선,127.02506,37.504598,"신논현, 9호선"
4124,사평,9호선,127.015259,37.504206,"사평, 9호선"
4123,고속터미널,9호선,127.004403,37.50598,"고속터미널, 9호선"
4122,신반포,9호선,126.995925,37.503415,"신반포, 9호선"
4121,구반포,9호선,126.987332,37.501364,"구반포, 9호선"
4120,동작(현충원),9호선,126.978153,37.502878,"동작(현충원), 9호선"
4119,흑석(중앙대입구),9호선,126.963708,37.50877,"흑석(중앙대입구), 9호선"
4118,노들,9호선,126.953222,37.512887,"노들, 9호선"
4117,노량진,9호선,126.941005,37.513534,"노량진, 9호선"
4116,샛강,9호선,126.928422,37.517274,"샛강, 9호선"
4115,여의도,9호선,126.92403,37.52176,"여의도, 9호선"
4114,국회의사당,9호선,126.917874,37.528105,"국회의사당, 9호선"
4113,당산,9호선,126.902809,37.533406,"당산, 9호선"
4112,선유도,9호선,126.893525,37.53802,"선유도, 9호선"
4111,신목동,9호선,126.88308,37.544277,"신목동, 9호선"
4110,염창,9호선,126.874916,37.546936,"염창, 9호선"
4109,등촌,9호선,126.865689,37.550632,"등촌, 9호선"
4108,증미,9호선,126.861939,37.557402,"증미, 9호선"
4107,가양,9호선,126.854456,37.561391,"가양, 9호선"
4106,양천향교,9호선,126.841333,37.568381,"양천향교, 9호선"
4105,마곡나루,9호선,126.82731,37.566778,"마곡나루, 9호선"
4104,신방화,9호선,126.816601,37.567532,"신방화, 9호선"
4103,공항시장,9호선,126.810678,37.563726,"공항시장, 9호선"
4102,김포공항,9호선,126.802152,37.561916,"김포공항, 9호선"
4101,개화,9호선,126.798153,37.578608,"개화, 9호선"
3763,석남(거북시장),7호선,126.6762813,37.5062285,"석남(거북시장), 7호선"
3762,산곡,7호선,126.7035277,37.5086,"산곡, 7호선"
3761,부평구청,7호선(인천),126.72077,37.50848,"부평구청, 7호선(인천)"
3760,굴포천,7호선(인천),126.73234,37.50681,"굴포천, 7호선(인천)"
3759,삼산체육관,7호선(인천),126.74179,37.50724,"삼산체육관, 7호선(인천)"
3758,상동,7호선(인천),126.753163,37.505814,"상동, 7호선(인천)"
